CUST_ID,REGISTRATION_ID,NAME,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,CUST_COUNTRY,CUST_STATE,CUST_CITY,CUST_ADDRESS1,CUST_ADDRESS2,CUST_POSTAL_ZONE,CUST_EMAIL,CUST_PHONE_NUMBER,CUST_FAX,INCOME,MEMBERS_IN_HOUSEHOLD,MONTHS_CUSTOMER
292,"MICHAEL.TOWB","",33,"F","M","Private Sector","High School","","","","","","","","","",35712,5,48
305,"TREVOR.KODJO","",33,"F","M","Professor","Post College","","","","","","","","","",46211,5,24
563,"BILLY.POLO@EMAIL2.COM","",33,"F","M","Doctor","College","","","","","","","","","",65385,5,36
667,"ADRIAN.DERN@EMAIL2.COM","",33,"F","M","Engineer","College","","","","","","","","","",29880,5,12
1157,"CHARLIE.HOUSE@EMAIL3.COM","",33,"F","M","Not employed","College","","","","","","","","","",63949,5,24
273,"HELENA.KODJO","",34,"M","M","Professor","College","","","","","","","","","",56100,5,12
404,"BOBBODZ@EMAIL1.COM","",34,"F","M","Engineer","College","","","","","","","","","",48933,5,24
304,"TREVOR.HOUSE","",34,"M","M","Engineer","College","","","","","","","","","",63383,5,24
167,"CHRIS.BRINK","",35,"F","M","Private Sector","High School","","","","","","","","","",37443,5,36
390,"MICHAEL.JACKSON","",35,"F","M","Doctor","Post College","","","","","","","","","",79526,5,12
1108,"GEORGE.JACKSON@EMAIL2.COM","",35,"F","M","Self Employed","College","","","","","","","","","",44617,5,24
1167,"GREGORY.READY@EMAIL3.COM","",35,"F","M","Private Sector","High School","","","","","","","","","",33231,5,36
174,"CRAIG.READY","",36,"F","M","Private Sector","High School","","","","","","","","","",18633,5,24
248,"CHARLIE.PITT","",36,"M","M","Private Sector","High School","","","","","","","","","",25330,5,24
490,"GREG.PITT@EMAIL2.COM","",36,"M","M","Scientist","Post College","","","","","","","","","",91542,5,24
533,"ROSS.BODZ@EMAIL1.COM","",36,"F","M","Engineer","Post College","","","","","","","","","",58902,5,0
546,"ADRIANBIRD@EMAIL1.COM","",37,"F","M","Self Employed","High School","","","","","","","","","",30854,5,48
108,"GREG.KODJO","",35,"F","M","Engineer","College","","","","","","","","","",35010,5,24
930,"JESSICA.WEBB@EMAIL2.COM","",37,"M","M","Scientist","Post College","","","","","","","","","",64339,5,24
62,"OWEN.ALBA","",38,"F","M","Engineer","Post College","","","","","","","","","",93198,5,36
1062,"STEVEN.WILSON@EMAIL1.COM","",38,"F","M","Engineer","Post College","","","","","","","","","",86435,5,36
177,"DUSTIN.MONK","",38,"F","M","Private Sector","High School","","","","","","","","","",26481,5,48
434,"JOHNWEBB@EMAIL1.COM","",38,"M","M","Nursing","College","","","","","","","","","",58313,5,36
757,"JACOB.BAUER@EMAIL1.COM","",38,"F","M","Accountant","Post College","","","","","","","","","",64063,5,48
891,"GEORGECORTEZ@EMAIL1.COM","",38,"M","M","Doctor","Post College","","","","","","","","","",66836,5,24
1177,"LINDSEY.BRINK@EMAIL3.COM","",38,"F","M","Private Sector","High School","","","","","","","","","",37466,5,48
224,"TERRI.KODJO","",39,"M","M","Engineer","College","","","","","","","","","",29060,5,36
497,"GREGREADY@EMAIL1.COM","",39,"F","M","Engineer","Post College","","","","","","","","","",53797,5,36
1224,"WILLIAM.ROBERTS@EMAIL3.COM","",39,"M","M","Engineer","College","","","","","","","","","",64138,5,36
890,"GEORGE.READY@EMAIL2.COM","",39,"F","M","Accountant","College","","","","","","","","","",45158,5,48
1213,"GREGORY.BARNFIELD@EMAIL1.COM","",37,"F","M","Professor","College","","","","","","","","","",65930,5,48
855,"BRED.READY@EMAIL3.COM","",40,"M","M","Private Sector","High School","","","","","","","","","",30121,5,36
795,"ROBERT.ALBA@EMAIL1.COM","",41,"F","M","Self Employed","High School","","","","","","","","","",33964,5,48
910,"GREGORYBRINK@EMAIL1.COM","",41,"M","M","Not employed","Post College","","","","","","","","","",88034,5,36
911,"GREGORYHOUSE@EMAIL1.COM","",41,"M","M","Lawyer","Post College","","","","","","","","","",78011,5,36
395,"ADRIAN.BARNFIELD","",41,"M","M","Engineer","Post College","","","","","","","","","",84828,5,36
538,"ROSS.PITT@EMAIL2.COM","",36,"F","M","Unemployed","High School","","","","","","","","","",26256,5,12
1174,"KEITH.BARNFIELD@EMAIL1.COM","",36,"F","M","Self Employed","High School","","","","","","","","","",26875,5,24
213,"MILA.LARTER","",37,"F","M","Scientist","College","","","","","","","","","",33474,5,48
437,"ROSSMONK@EMAIL1.COM","",42,"M","M","Engineer","Post College","","","","","","","","","",74597,5,24
1123,"HELENA.STILLER@EMAIL2.COM","",42,"M","M","Doctor","College","","","","","","","","","",69566,5,24
557,"BILLY.BIRD@EMAIL1.COM","",42,"F","M","Nursing","College","","","","","","","","","",66194,5,0
190,"GREG.LARTER","",43,"F","M","Professor","Post College","","","","","","","","","",73073,5,48
775,"KEITH.BRINK@EMAIL2.COM","",40,"M","M","Nursing","College","","","","","","","","","",69355,5,24
682,"ALAN.WILSON@EMAIL1.COM","",44,"M","M","Financial analyst","College","","","","","","","","","",77305,5,24
950,"MICHAEL.PITT@EMAIL1.COM","",44,"F","M","Lawyer","College","","","","","","","","","",83759,5,0
951,"MICHAEL.PITT@EMAIL2.COM","",44,"F","M","Engineer","Post College","","","","","","","","","",67647,5,0
246,"CHARLIE.MONK","",45,"M","M","Self Employed","High School","","","","","","","","","",33458,5,24
346,"MILA.ANDERSON","",45,"M","M","Doctor","College","","","","","","","","","",69307,5,24
475,"EMMA.ALBA@EMAIL2.COM","",45,"M","M","Financial analyst","Post College","","","","","","","","","",58198,5,36
672,"ADRIAN.TOWB@EMAIL1.COM","",45,"M","M","Lawyer","College","","","","","","","","","",65009,5,36
182,"GEORGE.MONK","",46,"F","M","Professor","College","","","","","","","","","",71728,5,0
339,"JESSICA.KODJO","",46,"F","M","Professor","College","","","","","","","","","",57398,5,12
506,"JOHN.MONK@EMAIL1.COM","",46,"M","M","Private Sector","High School","","","","","","","","","",28262,5,36
507,"JOHN.MONK@EMAIL2.COM","",46,"M","M","Engineer","Post College","","","","","","","","","",98708,5,36
1182,"ROBERT.ANDERSON@EMAIL1.COM","",46,"F","M","Engineer","College","","","","","","","","","",70279,5,0
552,"ADRIANWEBB@EMAIL1.COM","",44,"F","M","Engineer","College","","","","","","","","","",80085,5,0
1205,"HELENA.HILLORY@EMAIL3.COM","",47,"M","M","Doctor","Post College","","","","","","","","","",59678,5,36
