REGISTRATION_ID,CUST_ID,PRODUCT_ID,CATEGORY,LINE,ITEM_NAME,ACTIVITY_TYPE,ACTIVITY_TYPE_DESC,ACTIVITY_TIME_DATE_FORMAT,ACTIVITY_AMOUNT,ONLINE_CATEGORY,ONLINE_PRODUCT_INFORMATION,PRODUCT_BROWSED,PRODUCT_PURCHASED,ITEMS_PLACED_IN_CART,ONSITE_SEARCHES,PAGE_VIEWS,PRODUCT_ABANDONED
MICHAELBIRD@EMAIL1.COM,782,Anastasia Beverly Hills Dress,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Guess Fit and Flair Dress,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Bar III Cropped Jacket,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Anne Klein Fayza Dress Shoes,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Anne Klein Barb Dress Shoes,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Calvin Klein Gayle High Heel Shoes,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BAUER,36,Calvin Klein Catherine High Heel Shoes,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 3:08,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BAUER,36,Calvin Klein Zipper Sheath Dress,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 3:08,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BAUER,36,Calvin Klein Sleevess Belted Striped Dress,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 3:08,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BAUER,36,Calvin Klein Horseshoe Neckline Dress,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 3:08,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BAUER,36,Calvin Klein Textured Sheath Dress,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 3:49,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BAUER,36,Elie Tahari Women's Kyle Knit Dress,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 3:49,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Elie Tahari Women's Kyle Twist Knit Dress,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 7:58,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Nike Women's Black Leggings,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 7:58,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Nike Women's Blue Leggings,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 7:58,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Nike Women's Miulticolor Leggings,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 7:58,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Nike Women's Flash Running Tights,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 3:26,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Elie Tahari One Button Jacket,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 3:26,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Elie Tahari Eggplant Career Suit,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 8:26,-,Clothes,Clothes,0,0,0,0,0,0
BOB.BODZ@EMAIL1.COM,414,Elie Tahari Black Career Suit,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 8:26,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Elie Tahari Scarlett Sleeveless Blouse,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Elie Tahari Watercolor Maxi Dress,Clothes,Clothes,,7,Conversion Event Completed,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
MICHAELBIRD@EMAIL1.COM,782,Elie Tahari Waterfall Maxi Dress,Clothes,Clothes,,6,Conversion Event Initiated,11/1/2010 11:39,-,Clothes,Clothes,0,0,0,0,0,0
